web-scraper-order,web-scraper-start-url,date,swell_size,time,water_surface,fun-factor-0,fun-factor-1,fun-factor-2,fun-factor-3,fun-factor-4
"1610738545-7381","https://www.wblivesurf.com/reports/page/203/","09.09.2018","Swell Size: Waist/Stomach/Occ. Bigger","10:16 AM / BY: surfreports","Water Surface: Semi-Clean","ratingCell","ratingCell","ratingCell half","null","null"
"1610737245-899","https://www.wblivesurf.com/reports/page/608/","02.10.2008","Swell Size: Shin High Shorebreak","10:36 AM / BY: sageisland","Water Surface: Semi Clean","ratingCell half","null","null","null","null"
"1610738458-7094","https://www.wblivesurf.com/reports/page/221/","06.29.2018","Swell Size: Knee/Thigh/Occ. Bigger","6:22 AM / BY: surfreports","Water Surface: Clean","ratingCell","ratingCell half","null","null","null"
"1610737559-2657","https://www.wblivesurf.com/reports/page/498/","12.09.2009","Swell Size: Chest/Head High","9:55 AM / BY: sageisland","Water Surface: Choppy/ Clean Faces","ratingCell","ratingCell half","null","null","null"
"1610737638-3123","https://www.wblivesurf.com/reports/page/469/","03.09.2012","Swell Size: Waist/Chest/Bigger?","12:17 PM / BY: sageisland","Water Surface: Clean","ratingCell","ratingCell half","null","null","null"
"1610737261-990","https://www.wblivesurf.com/reports/page/602/","03.07.2008","Swell Size: Thigh/Occ. Waist","4:25 PM / BY: sageisland","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610737644-3151","https://www.wblivesurf.com/reports/page/467/","04.06.2012","Swell Size: Chest/Head/Occ. Bigger","4:02 PM / BY: sageisland","Water Surface: Choppy/Drifty","ratingCell","ratingCell half","null","null","null"
"1610737160-732","https://www.wblivesurf.com/reports/page/619/","12.20.2007","Swell Size: Shin/Knee","12:32 PM / BY: sageisland","Water Surface: Light Bump","ratingCell half","null","null","null","null"
"1610737854-4374","https://www.wblivesurf.com/reports/page/391/","11.11.2014","Swell Size: Stomach/Chest/Occ. Bigger","12:52 PM / BY: sageisland","Water Surface: Semi-Clean/Light Texture","ratingCell","ratingCell","ratingCell","null","null"
"1610738780-8192","https://www.wblivesurf.com/reports/page/152/","04.13.2019","Swell Size: Stomach/Chest/Occ Shoulder","10:19 AM / BY: surfreports","Water Surface: Light Chop","ratingCell","ratingCell","ratingCell half","null","null"
"1610737679-3367","https://www.wblivesurf.com/reports/page/454/","09.05.2012","Swell Size: Waist/Chest/Occ. Bigger","8:55 AM / BY: sageisland","Water Surface: Light Bump","ratingCell","ratingCell half","null","null","null"
"1610737394-1767","https://www.wblivesurf.com/reports/page/554/","09.02.2008","Swell Size: Chest/Head High","3:55 PM / BY: sageisland","Water Surface: Light Onshore","ratingCell","ratingCell","null","null","null"
"1610738381-6813","https://www.wblivesurf.com/reports/page/238/","04.24.2018","Swell Size: shoulder/head?","7:06 AM / BY: surfreports","Water Surface: choppy/messy","ratingCell","ratingCell half","null","null","null"
"1610737952-4852","https://www.wblivesurf.com/reports/page/361/","09.27.2015","Swell Size: Waist/Chest High/Occ. Head High?","10:46 AM / BY: sageisland","Water Surface: Choppy","ratingCell","ratingCell","null","null","null"
"1610737714-3580","https://www.wblivesurf.com/reports/page/441/","01.31.2013","Swell Size: Thigh-Waist/Occ. Bigger","12:33 PM / BY: sageisland","Water Surface: Clean","ratingCell","null","null","null","null"
"1610737720-3600","https://www.wblivesurf.com/reports/page/439/","03.10.2013","Swell Size: Waist/Stomach/Occ. Bigger","1:03 PM / BY: sageisland","Water Surface: Semi-Choppy","ratingCell","ratingCell","null","null","null"
"1610738610-7605","https://www.wblivesurf.com/reports/page/189/","11.13.2018","Swell Size: Chest/Head","12:19 PM / BY: surfreports","Water Surface: Clean","ratingCell","ratingCell","ratingCell","null","null"
"1610737958-4884","https://www.wblivesurf.com/reports/page/359/","10.05.2015","Swell Size: Chest/Head High+","4:06 PM / BY: sageisland","Water Surface: Choppy/Drifty","ratingCell","ratingCell","null","null","null"
"1610738906-8693","https://www.wblivesurf.com/reports/page/121/","08.14.2019","Swell Size: shin/knee","6:53 AM / BY: surfreports","Water Surface: clean","ratingCell half","null","null","null","null"
"1610738926-8760","https://www.wblivesurf.com/reports/page/117/","08.29.2019","Swell Size: Knee High","12:41 PM / BY: surfreports","Water Surface: Light Bump","ratingCell half","null","null","null","null"
"1610738071-5504","https://www.wblivesurf.com/reports/page/320/","07.19.2016","Swell Size: Knee-Thigh High","12:34 PM / BY: sageisland","Water Surface: Slight Bump","ratingCell","null","null","null","null"
"1610738114-5667","https://www.wblivesurf.com/reports/page/310/","09.23.2016","Swell Size: Waist-Stomach","12:48 PM / BY: sageisland","Water Surface: Bumpy","ratingCell","ratingCell half","null","null","null"
"1610739276-10098","https://www.wblivesurf.com/reports/page/33/","09.05.2020","Swell Size: Knee-Thigh High","9:42 AM / BY: surfreports","Water Surface: Bumpy","ratingCell half","null","null","null","null"
"1610738177-6030","https://www.wblivesurf.com/reports/page/287/","04.26.2017","Swell Size: Thigh-Waist High/Occ.Stomach","12:31 PM / BY: sageisland","Water Surface: Clean","ratingCell","ratingCell","null","null","null"
"1610738117-5683","https://www.wblivesurf.com/reports/page/309/","09.27.2016","Swell Size: Thigh/Waist/Occ.Stomach","3:49 PM / BY: sageisland","Water Surface: Semi-clean","ratingCell","ratingCell half","null","null","null"
"1610737695-3456","https://www.wblivesurf.com/reports/page/448/","10.28.2012","Swell Size: Chest/Head/Bigger","3:44 PM / BY: sageisland","Water Surface: Hard offshore","ratingCell","ratingCell half","null","null","null"
"1610737146-651","https://www.wblivesurf.com/reports/page/624/","11.30.2007","Swell Size: Knee High","7:04 AM / BY: sageisland","Water Surface: Light Bump","ratingCell half","null","null","null","null"
"1610737845-4323","https://www.wblivesurf.com/reports/page/394/","09.21.2014","Swell Size: Waist/Chest High","12:55 PM / BY: sageisland","Water Surface: Clean","ratingCell","ratingCell","ratingCell","ratingCell half","null"
"1610737619-3012","https://www.wblivesurf.com/reports/page/476/","11.09.2011","Swell Size: Stomach/Chest/Occ. Head High","3:40 PM / BY: sageisland","Water Surface: Light Bump","ratingCell","ratingCell half","null","null","null"
"1610737878-4519","https://www.wblivesurf.com/reports/page/382/","04.02.2015","Swell Size: Knee/Thigh/Occ. Hip","6:56 AM / BY: sageisland","Water Surface: Choppy","ratingCell","null","null","null","null"
"1610738808-8306","https://www.wblivesurf.com/reports/page/145/","05.10.2019","Swell Size: Knee/Thigh High","3:59 PM / BY: surfreports","Water Surface: Bumpy","ratingCell","null","null","null","null"
"1610738559-7421","https://www.wblivesurf.com/reports/page/200/","10.02.2018","Swell Size: Thigh High","10:20 AM / BY: surfreports","Water Surface: Light Bump","null","null","null","null","null"
"1610737321-1345","https://www.wblivesurf.com/reports/page/580/","05.25.2008","Swell Size: Knee/Thigh/Occ. Bigger","6:40 AM / BY: sageisland","Water Surface: Light Texture/Semi Clean","ratingCell half","null","null","null","null"
"1610738136-5791","https://www.wblivesurf.com/reports/page/302/","11.14.2016","Swell Size: Shoulder/head/rare+","10:16 AM / BY: sageisland","Water Surface: clean","ratingCell","ratingCell","ratingCell","null","null"
"1610737461-2078","https://www.wblivesurf.com/reports/page/534/","01.18.2009","Swell Size: Knee-Thigh","3:29 PM / BY: sageisland","Water Surface: Light Bump","ratingCell","null","null","null","null"
"1610737614-2982","https://www.wblivesurf.com/reports/page/478/","09.07.2011","Swell Size: Waist/Chest/Occ. Bigger","1:00 PM / BY: sageisland","Water Surface: Choppy","ratingCell","ratingCell half","null","null","null"
"1610737941-4790","https://www.wblivesurf.com/reports/page/365/","08.26.2015","Swell Size: Knee-Thigh High","9:01 AM / BY: sageisland","Water Surface: Light Bump","ratingCell","null","null","null","null"
"1610737714-3572","https://www.wblivesurf.com/reports/page/441/","02.23.2013","Swell Size: Waist/Shoulder/Occ+","7:15 AM / BY: sageisland","Water Surface: Clean","ratingCell","ratingCell half","null","null","null"
"1610739300-10218","https://www.wblivesurf.com/reports/page/26/","10.01.2020","Swell Size: Knee-Thigh High","10:14 AM / BY: surfreports","Water Surface: Fairly Clean","ratingCell","ratingCell half","null","null","null"
