web-scraper-order,web-scraper-start-url,date,swell_size,time,water_surface,fun-factor-0,fun-factor-1,fun-factor-2,fun-factor-3,fun-factor-4
"1610737359-1580","https://www.wblivesurf.com/reports/page/566/","07.12.2008","Swell Size: Stomach/Chest/Occ. Bigger","8:49 AM / BY: sageisland","Water Surface: Light Bump","ratingCell","ratingCell half","null","null","null"
"1610737171-782","https://www.wblivesurf.com/reports/page/615/","01.15.2008","Swell Size: Ankle/Shin/Rare Knee","1:19 PM / BY: sageisland","Water Surface: Light Bump","ratingCell half","null","null","null","null"
"1610737299-1222","https://www.wblivesurf.com/reports/page/588/","05.01.2008","Swell Size: Shin","12:44 PM / BY: sageisland","Water Surface: Glassy","ratingCell half","null","null","null","null"
"1610737916-4735","https://www.wblivesurf.com/reports/page/368/","08.01.2015","Swell Size: Thigh/Waist/Occ. Bigger","9:07 AM / BY: sageisland","Water Surface: Pretty Clean","ratingCell","ratingCell","null","null","null"
"1610738041-5332","https://www.wblivesurf.com/reports/page/331/","04.25.2016","Swell Size: Knee-Thigh High","12:50 PM / BY: sageisland","Water Surface: Light Bump","ratingCell","ratingCell half","null","null","null"
"1610737502-2326","https://www.wblivesurf.com/reports/page/519/","05.21.2009","Swell Size: Chest/Head High/Bigger Sets","9:42 AM / BY: sageisland","Water Surface: Choppy","ratingCell","null","null","null","null"
"1610737840-4295","https://www.wblivesurf.com/reports/page/396/","08.24.2014","Swell Size: Stomach/ Chest/ Maybe bigger?","1:12 PM / BY: sageisland","Water Surface: Choppy/Drifty","ratingCell","ratingCell","null","null","null"
"1610739211-9816","https://www.wblivesurf.com/reports/page/51/","06.23.2020","Swell Size: Knee High","3:32 PM / BY: surfreports","Water Surface: semi clean","ratingCell","null","null","null","null"
"1610738693-7897","https://www.wblivesurf.com/reports/page/171/","01.25.2019","Swell Size: Thigh/Waist","10:12 AM / BY: surfreports","Water Surface: Clean","ratingCell","null","null","null","null"
"1610738041-5329","https://www.wblivesurf.com/reports/page/331/","04.26.2016","Swell Size: Knee High","10:04 AM / BY: sageisland","Water Surface: Light Texture","ratingCell","null","null","null","null"
"1610738472-7147","https://www.wblivesurf.com/reports/page/218/","07.09.2018","Swell Size: Stomach/Chest","3:34 PM / BY: surfreports","Water Surface: Light Bump","ratingCell","ratingCell","null","null","null"
"1610738939-8805","https://www.wblivesurf.com/reports/page/114/","09.13.2019","Swell Size: Knee High","12:14 PM / BY: surfreports","Water Surface: Clean","ratingCell","null","null","null","null"
"1610738759-8116","https://www.wblivesurf.com/reports/page/157/","03.23.2019","Swell Size: Knee High Shorebreak","10:04 AM / BY: surfreports","Water Surface: Clean","null","null","null","null","null"
"1610738024-5244","https://www.wblivesurf.com/reports/page/337/","02.22.2016","Swell Size: Knee High","12:10 PM / BY: sageisland","Water Surface: Glassy","ratingCell","null","null","null","null"
"1610738833-8395","https://www.wblivesurf.com/reports/page/140/","05.28.2019","Swell Size: Knee High","12:08 PM / BY: surfreports","Water Surface: Clean","ratingCell half","null","null","null","null"
"1610737573-2735","https://www.wblivesurf.com/reports/page/493/","03.14.2010","Swell Size: Thigh-Waist/ Occ. Bigger","1:07 PM / BY: sageisland","Water Surface: Clean/Offshore","ratingCell","ratingCell half","null","null","null"
"1610738739-8035","https://www.wblivesurf.com/reports/page/162/","03.03.2019","Swell Size: Knee/Thigh High","2:05 PM / BY: surfreports","Water Surface: Choppy","null","null","null","null","null"
"1610737458-2074","https://www.wblivesurf.com/reports/page/535/","12.17.2008","Swell Size: Thigh/Waist/Occ. Stomach","3:35 PM / BY: sageisland","Water Surface: Light Texture","ratingCell","ratingCell half","null","null","null"
"1610739259-10017","https://www.wblivesurf.com/reports/page/38/","08.16.2020","Swell Size: Knee-Thigh High","12:45 PM / BY: surfreports","Water Surface: Bumpy","ratingCell half","null","null","null","null"
"1610738962-8894","https://www.wblivesurf.com/reports/page/108/","10.09.2019","Swell Size: Thigh/Waist","10:08 AM / BY: surfreports","Water Surface: Clean","ratingCell","ratingCell","null","null","null"
"1610738136-5804","https://www.wblivesurf.com/reports/page/302/","11.06.2016","Swell Size: Thigh-Waist","3:23 PM / BY: sageisland","Water Surface: Glassy","ratingCell","ratingCell half","null","null","null"
"1610738804-8297","https://www.wblivesurf.com/reports/page/146/","05.05.2019","Swell Size: Knee/Thigh/Occ. Hip","6:42 AM / BY: surfreports","Water Surface: Light Texture/Semi-Clean","ratingCell half","null","null","null","null"
"1610738732-8001","https://www.wblivesurf.com/reports/page/164/","02.24.2019","Swell Size: Knee/Occ. Thigh High Shorebreak","10:53 AM / BY: surfreports","Water Surface: Light Bump","ratingCell half","null","null","null","null"
"1610737872-4485","https://www.wblivesurf.com/reports/page/384/","03.15.2015","Swell Size: Thigh high- Occ. Waist","3:42 PM / BY: sageisland","Water Surface: Clean","ratingCell","ratingCell","null","null","null"
"1610737488-2252","https://www.wblivesurf.com/reports/page/524/","04.04.2009","Swell Size: Knee/Thigh/Occ. Bigger","12:22 PM / BY: sageisland","Water Surface: Clean/Light Offshore","ratingCell","null","null","null","null"
"1610738625-7672","https://www.wblivesurf.com/reports/page/185/","11.29.2018","Swell Size: Flat","12:37 PM / BY: surfreports","Water Surface: Clean","null","null","null","null","null"
"1610738601-7573","https://www.wblivesurf.com/reports/page/191/","11.05.2018","Swell Size: Thigh/Waist","12:27 PM / BY: surfreports","Water Surface: Clean","ratingCell","ratingCell half","null","null","null"
"1610737704-3511","https://www.wblivesurf.com/reports/page/445/","11.23.2012","Swell Size: Thigh/Waist/Rare Bigger Sets","12:18 PM / BY: sageisland","Water Surface: Fairly Clean","ratingCell","null","null","null","null"
"1610738916-8732","https://www.wblivesurf.com/reports/page/119/","08.20.2019","Swell Size: Knee High","9:01 AM / BY: surfreports","Water Surface: Light Bump","ratingCell half","null","null","null","null"
"1610737894-4606","https://www.wblivesurf.com/reports/page/376/","05.17.2015","Swell Size: Thigh/Waist High","10:47 AM / BY: sageisland","Water Surface: Light Bump","ratingCell","ratingCell","null","null","null"
"1610737913-4720","https://www.wblivesurf.com/reports/page/369/","07.26.2015","Swell Size: Thigh/Waist/Occ. Stomach","6:23 AM / BY: sageisland","Water Surface: Semi-Clean/Light Bump","ratingCell","ratingCell","null","null","null"
"1610737894-4611","https://www.wblivesurf.com/reports/page/376/","05.15.2015","Swell Size: Thigh-Waist High","9:56 AM / BY: sageisland","Water Surface: Light Bump","ratingCell","ratingCell","null","null","null"
"1610738175-6014","https://www.wblivesurf.com/reports/page/288/","04.16.2017","Swell Size: Thigh/Waist/Occ. Stomach","12:31 PM / BY: sageisland","Water Surface: Sideshore Chop","ratingCell","ratingCell half","null","null","null"
"1610738699-7912","https://www.wblivesurf.com/reports/page/170/","01.29.2019","Swell Size: Knee High","12:33 PM / BY: surfreports","Water Surface: Light Bump","ratingCell","ratingCell half","null","null","null"
"1610737742-3733","https://www.wblivesurf.com/reports/page/431/","04.26.2013","Swell Size: Knee/Thigh/Occ. Waist","3:53 PM / BY: sageisland","Water Surface: Choppy","ratingCell","ratingCell half","null","null","null"
"1610737359-1574","https://www.wblivesurf.com/reports/page/566/","07.13.2008","Swell Size: Waist-Chest","4:17 PM / BY: sageisland","Water Surface: Light Chop/Clean Faces","ratingCell","ratingCell half","null","null","null"
"1610737731-3668","https://www.wblivesurf.com/reports/page/435/","04.05.2013","Swell Size: Waist/Stomach/Occ Bigger","3:55 PM / BY: sageisland","Water Surface: Light Chop","ratingCell","ratingCell","ratingCell half","null","null"
"1610738991-9023","https://www.wblivesurf.com/reports/page/100/","11.10.2019","Swell Size: Thigh/Waist","3:33 PM / BY: surfreports","Water Surface: light texture","ratingCell","null","null","null","null"
"1610738261-6393","https://www.wblivesurf.com/reports/page/265/","01.02.2018","Swell Size: Thigh/Waist","12:31 PM / BY: surfreports","Water Surface: Light Chop and Drift","ratingCell","null","null","null","null"
"1610737616-2990","https://www.wblivesurf.com/reports/page/477/","11.05.2011","Swell Size: Chest/Head/Occ. Bigger","9:08 AM / BY: sageisland","Water Surface: Semi-Clean/Bump","ratingCell","ratingCell half","null","null","null"
"1610739091-9346","https://www.wblivesurf.com/reports/page/80/","01.30.2020","Swell Size: Thigh-Waist High","12:16 PM / BY: surfreports","Water Surface: Light Bump","ratingCell","null","null","null","null"
"1610738922-8745","https://www.wblivesurf.com/reports/page/118/","08.25.2019","Swell Size: Knee/Thigh/Occ. Bigger","9:41 AM / BY: surfreports","Water Surface: Light Bump","ratingCell","null","null","null","null"
"1610737348-1506","https://www.wblivesurf.com/reports/page/570/","06.23.2008","Swell Size: Knee/Thigh High Shorebreak","12:35 PM / BY: sageisland","Water Surface: Glassy","ratingCell half","null","null","null","null"
"1610738109-5641","https://www.wblivesurf.com/reports/page/312/","09.09.2016","Swell Size: Thigh-Hip High","3:42 PM / BY: sageisland","Water Surface: Choppy","ratingCell","null","null","null","null"
"1610738614-7620","https://www.wblivesurf.com/reports/page/188/","11.18.2018","Swell Size: Thigh/Waist/Occ. Stomach","7:21 AM / BY: surfreports","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610738970-8939","https://www.wblivesurf.com/reports/page/106/","10.14.2019","Swell Size: Shin/Knee Shorebreak","7:21 AM / BY: surfreports","Water Surface: Clean","ratingCell half","null","null","null","null"
"1610738732-8005","https://www.wblivesurf.com/reports/page/164/","02.23.2019","Swell Size: Thigh/Waist","10:13 AM / BY: surfreports","Water Surface: Bumpy","ratingCell","ratingCell","null","null","null"
"1610737321-1347","https://www.wblivesurf.com/reports/page/580/","05.24.2008","Swell Size: Knee/Thigh/Building","1:04 PM / BY: sageisland","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610737832-4241","https://www.wblivesurf.com/reports/page/399/","06.01.2014","Swell Size: Thigh/Waist/Occ. Stomach","12:28 PM / BY: sageisland","Water Surface: Choppy/Drifty","ratingCell","ratingCell","ratingCell half","null","null"
"1610739211-9807","https://www.wblivesurf.com/reports/page/51/","06.26.2020","Swell Size: Knee High","6:11 AM / BY: surfreports","Water Surface: Clean","ratingCell half","null","null","null","null"
"1610739180-9754","https://www.wblivesurf.com/reports/page/55/","06.07.2020","Swell Size: Shin-Knee High","1:34 PM / BY: surfreports","Water Surface: Clean","ratingCell half","null","null","null","null"
"1610737685-3389","https://www.wblivesurf.com/reports/page/452/","09.22.2012","Swell Size: Knee/Thigh/Occ. Bigger?","12:31 PM / BY: sageisland","Water Surface: Glassy","ratingCell","null","null","null","null"
"1610737108-417","https://www.wblivesurf.com/reports/page/638/","10.14.2007","Swell Size: Shin/Knee/Rare Bigger","5:11 PM / BY: sageisland","Water Surface: Light Texture","ratingCell half","null","null","null","null"
"1610738985-8991","https://www.wblivesurf.com/reports/page/102/","11.02.2019","Swell Size: Knee/Thigh High/occ+","3:32 PM / BY: surfreports","Water Surface: Semi-Clean","ratingCell","ratingCell half","null","null","null"
"1610737242-881","https://www.wblivesurf.com/reports/page/609/","02.06.2008","Swell Size: Thigh-Waist/Occ. Stomach","4:02 PM / BY: sageisland","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610738545-7385","https://www.wblivesurf.com/reports/page/203/","09.08.2018","Swell Size: Thigh-Waist High/Rare Bigger","10:15 AM / BY: surfreports","Water Surface: Light Bump","ratingCell","ratingCell","null","null","null"
"1610738579-7489","https://www.wblivesurf.com/reports/page/196/","10.17.2018","Swell Size: Ankle/Shin High","12:53 PM / BY: surfreports","Water Surface: Light Bump","null","null","null","null","null"
"1610737823-4201","https://www.wblivesurf.com/reports/page/402/","02.05.2014","Swell Size: Thigh/Waist","7:13 AM / BY: sageisland","Water Surface: Clean/Foggy","ratingCell","ratingCell","null","null","null"
"1610738293-6502","https://www.wblivesurf.com/reports/page/258/","01.31.2018","Swell Size: Knee-Thigh High","3:45 PM / BY: surfreports","Water Surface: Bumpy","ratingCell","null","null","null","null"
"1610738994-9046","https://www.wblivesurf.com/reports/page/99/","11.13.2019","Swell Size: Thigh/Waist/Occ. Stomach","6:56 AM / BY: surfreports","Water Surface: Pretty Clean/Windy","ratingCell half","null","null","null","null"
"1610737124-510","https://www.wblivesurf.com/reports/page/632/","11.05.2007","Swell Size: Thigh/Occ. Waist","6:24 AM / BY: sageisland","Water Surface: Glassy","ratingCell","null","null","null","null"
"1610738233-6293","https://www.wblivesurf.com/reports/page/271/","12.10.2017","Swell Size: Knee/Thigh","7:12 AM / BY: surfreports","Water Surface: Clean","ratingCell","null","null","null","null"
"1610738208-6191","https://www.wblivesurf.com/reports/page/277/","11.17.2017","Swell Size: Shin/Knee","6:48 AM / BY: surfreports","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610737883-4546","https://www.wblivesurf.com/reports/page/380/","04.17.2015","Swell Size: Stomach-Chest High/Bigger Sets","10:02 AM / BY: sageisland","Water Surface: Light Texture","ratingCell","ratingCell","ratingCell","null","null"
"1610738743-8049","https://www.wblivesurf.com/reports/page/161/","03.08.2019","Swell Size: Ankle High","7:19 AM / BY: surfreports","Water Surface: Light Bump","null","null","null","null","null"
"1610737171-789","https://www.wblivesurf.com/reports/page/615/","01.14.2008","Swell Size: Knee/Thigh High Shorebreak","9:40 AM / BY: sageisland","Water Surface: Glassy","ratingCell half","null","null","null","null"
"1610737812-4125","https://www.wblivesurf.com/reports/page/406/","12.08.2013","Swell Size: Thigh/Waist/Occ.Stomach","10:26 AM / BY: sageisland","Water Surface: Sideshore Chop/Clean Faces","ratingCell","ratingCell half","null","null","null"
"1610737660-3249","https://www.wblivesurf.com/reports/page/461/","05.28.2012","Swell Size: Stomach/Chest/Occ. Bigger","6:23 AM / BY: sageisland","Water Surface: Light Bump/Chop","ratingCell","ratingCell half","null","null","null"
"1610738114-5664","https://www.wblivesurf.com/reports/page/310/","09.24.2016","Swell Size: thigh/waist","10:10 AM / BY: sageisland","Water Surface: light chop/texture","ratingCell","ratingCell half","null","null","null"
"1610739144-9582","https://www.wblivesurf.com/reports/page/65/","04.25.2020","Swell Size: Waist High","12:04 PM / BY: surfreports","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610738286-6468","https://www.wblivesurf.com/reports/page/260/","01.24.2018","Swell Size: Knee/Occ. Thigh High","10:00 AM / BY: surfreports","Water Surface: Clean","ratingCell","null","null","null","null"
"1610737986-5039","https://www.wblivesurf.com/reports/page/349/","12.07.2015","Swell Size: Thigh/Waist","12:14 PM / BY: sageisland","Water Surface: Clean","ratingCell","ratingCell","null","null","null"
"1610737687-3408","https://www.wblivesurf.com/reports/page/451/","10.03.2012","Swell Size: Waist/Occ. Stomach/Rare Bigger","9:58 AM / BY: sageisland","Water Surface: Choppy/Semi-Clean Faces","ratingCell","null","null","null","null"
"1610738947-8832","https://www.wblivesurf.com/reports/page/112/","09.22.2019","Swell Size: Thigh/Waist","3:48 PM / BY: surfreports","Water Surface: Light Texture","ratingCell","ratingCell half","null","null","null"
"1610738966-8914","https://www.wblivesurf.com/reports/page/107/","10.12.2019","Swell Size: Thigh/Waist","10:18 AM / BY: surfreports","Water Surface: Glassy","ratingCell","ratingCell half","null","null","null"
"1610738335-6644","https://www.wblivesurf.com/reports/page/249/","03.09.2018","Swell Size: Knee High","10:05 AM / BY: surfreports","Water Surface: Glassy","null","null","null","null","null"
"1610737756-3820","https://www.wblivesurf.com/reports/page/426/","06.07.2013","Swell Size: Head High/Bigger","6:10 AM / BY: sageisland","Water Surface: Choppy/Sloppy","ratingCell","ratingCell half","null","null","null"
"1610737950-4843","https://www.wblivesurf.com/reports/page/362/","09.19.2015","Swell Size: Chest/Head/Plus","7:00 AM / BY: sageisland","Water Surface: Choppy/Semi-Clean Faces","ratingCell","ratingCell","ratingCell","null","null"
"1610738016-5196","https://www.wblivesurf.com/reports/page/340/","02.03.2016","Swell Size: Knee/Thigh/Waist High set maybe","7:45 AM / BY: sageisland","Water Surface: Light wind","ratingCell","null","null","null","null"
"1610738646-7728","https://www.wblivesurf.com/reports/page/181/","12.17.2018","Swell Size: Flat","3:51 PM / BY: surfreports","Water Surface: Glassy","null","null","null","null","null"
"1610738559-7434","https://www.wblivesurf.com/reports/page/200/","09.29.2018","Swell Size: Knee High Shore Break","7:30 AM / BY: surfreports","Water Surface: Light Texture","ratingCell half","null","null","null","null"
"1610738642-7709","https://www.wblivesurf.com/reports/page/182/","12.14.2018","Swell Size: Thigh/Waist","11:58 AM / BY: surfreports","Water Surface: Choppy","ratingCell","null","null","null","null"
"1610739130-9522","https://www.wblivesurf.com/reports/page/69/","03.14.2020","Swell Size: Thigh-Waist High","12:53 PM / BY: surfreports","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610737163-748","https://www.wblivesurf.com/reports/page/618/","12.27.2007","Swell Size: Knee High","7:13 AM / BY: sageisland","Water Surface: Glassy","ratingCell half","null","null","null","null"
"1610738804-8291","https://www.wblivesurf.com/reports/page/146/","05.06.2019","Swell Size: Knee/Thigh High","12:25 PM / BY: surfreports","Water Surface: Light Bump","ratingCell","null","null","null","null"
"1610738268-6403","https://www.wblivesurf.com/reports/page/264/","01.08.2018","Swell Size: Knee High","3:53 PM / BY: surfreports","Water Surface: Light Bump","ratingCell half","null","null","null","null"
"1610737963-4922","https://www.wblivesurf.com/reports/page/357/","10.18.2015","Swell Size: Waist/Stomach/Rare Bigger?","10:42 AM / BY: sageisland","Water Surface: Choppy/Semi-Clean Faces","ratingCell","ratingCell","null","null","null"
"1610737516-2407","https://www.wblivesurf.com/reports/page/514/","07.19.2009","Swell Size: Thigh/Occ. Waist","3:31 PM / BY: sageisland","Water Surface: Glassy/Mushy","ratingCell","null","null","null","null"
"1610738943-8814","https://www.wblivesurf.com/reports/page/113/","09.19.2019","Swell Size: Chest/Head High/Occ Bigger","10:07 AM / BY: surfreports","Water Surface: Choppy/Clean Faces","ratingCell","ratingCell","ratingCell","null","null"
"1610738523-7318","https://www.wblivesurf.com/reports/page/207/","08.24.2018","Swell Size: Thigh/Waist/Occ. Stomach","7:03 AM / BY: surfreports","Water Surface: Light Chop/Clean Faces","ratingCell","ratingCell half","null","null","null"
"1610738841-8413","https://www.wblivesurf.com/reports/page/138/","06.09.2019","Swell Size: Knee/Occ. Thigh","6:28 AM / BY: surfreports","Water Surface: Clean","ratingCell","null","null","null","null"
"1610738131-5767","https://www.wblivesurf.com/reports/page/304/","10.20.2016","Swell Size: Thigh/Waist High","7:22 AM / BY: sageisland","Water Surface: Clean/Glassy","ratingCell","ratingCell half","null","null","null"
"1610738770-8161","https://www.wblivesurf.com/reports/page/154/","04.05.2019","Swell Size: Knee High","7:22 AM / BY: surfreports","Water Surface: Bumpy","null","null","null","null","null"
"1610737903-4663","https://www.wblivesurf.com/reports/page/373/","06.09.2015","Swell Size: Thigh/Waist","9:57 AM / BY: sageisland","Water Surface: Semi-Clean","ratingCell","ratingCell","null","null","null"
"1610737815-4142","https://www.wblivesurf.com/reports/page/405/","12.21.2013","Swell Size: Thigh/Occ. Waist","12:55 PM / BY: sageisland","Water Surface: Clean/Light Bump","ratingCell","ratingCell half","null","null","null"
"1610737345-1491","https://www.wblivesurf.com/reports/page/571/","06.20.2008","Swell Size: Knee High","12:41 PM / BY: sageisland","Water Surface: Glassy","ratingCell half","null","null","null","null"
"1610738750-8080","https://www.wblivesurf.com/reports/page/159/","03.16.2019","Swell Size: Knee-Thigh High","10:03 AM / BY: surfreports","Water Surface: Bumpy","ratingCell","null","null","null","null"
"1610737900-4637","https://www.wblivesurf.com/reports/page/374/","06.05.2015","Swell Size: Knee/Thigh/Occ. Hip","4:26 PM / BY: sageisland","Water Surface: Light Onshore Bump","ratingCell","ratingCell","null","null","null"
"1610738298-6517","https://www.wblivesurf.com/reports/page/257/","02.05.2018","Swell Size: Hip/Stomach High","7:09 AM / BY: surfreports","Water Surface: Clean","ratingCell","ratingCell","ratingCell","null","null"
"1610738926-8761","https://www.wblivesurf.com/reports/page/117/","08.29.2019","Swell Size: Knee High","9:35 AM / BY: surfreports","Water Surface: Bumpy","null","null","null","null","null"
"1610737817-4169","https://www.wblivesurf.com/reports/page/404/","12.23.2013","Swell Size: Thigh/Waist/Occ. Chest","10:33 AM / BY: sageisland","Water Surface: Choppy","ratingCell","ratingCell","ratingCell half","null","null"
"1610737413-1875","https://www.wblivesurf.com/reports/page/547/","10.01.2008","Swell Size: Knee High","4:14 PM / BY: sageisland","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610738523-7323","https://www.wblivesurf.com/reports/page/207/","08.22.2018","Swell Size: Ankle/Shin High","4:24 PM / BY: surfreports","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610737411-1861","https://www.wblivesurf.com/reports/page/548/","09.28.2008","Swell Size: Waist/Stomach/Occ. Bigger","10:00 AM / BY: sageisland","Water Surface: Semi-Clean/Glass","ratingCell","ratingCell half","null","null","null"
"1610737511-2366","https://www.wblivesurf.com/reports/page/516/","07.01.2009","Swell Size: Knee/Thigh/Occ. Bigger","12:32 PM / BY: sageisland","Water Surface: Glassy","ratingCell","null","null","null","null"
"1610737171-785","https://www.wblivesurf.com/reports/page/615/","01.14.2008","Swell Size: Shin/Knee/Bigger?","3:48 PM / BY: sageisland","Water Surface: Glassy","ratingCell half","null","null","null","null"
"1610737356-1559","https://www.wblivesurf.com/reports/page/567/","07.08.2008","Swell Size: Knee/Thigh/Occ. Bigger","6:23 AM / BY: sageisland","Water Surface: Semi-Glass","ratingCell half","null","null","null","null"
"1610737739-3713","https://www.wblivesurf.com/reports/page/432/","04.23.2013","Swell Size: Thigh/Waist/Occ. Bigger","6:55 AM / BY: sageisland","Water Surface: Pretty Clean/Light Texture","ratingCell","ratingCell","null","null","null"
"1610738559-7424","https://www.wblivesurf.com/reports/page/200/","10.01.2018","Swell Size: Waist","12:39 PM / BY: surfreports","Water Surface: Bumpy","ratingCell half","null","null","null","null"
"1610737834-4261","https://www.wblivesurf.com/reports/page/398/","07.04.2014","Swell Size: Thigh/Waist High","12:58 PM / BY: sageisland","Water Surface: Clean","ratingCell","ratingCell","ratingCell half","null","null"
"1610737570-2722","https://www.wblivesurf.com/reports/page/494/","03.02.2010","Swell Size: Thigh/Waist/Occ. Bigger","4:23 PM / BY: sageisland","Water Surface: Semi-Clean/Light Bump","ratingCell","null","null","null","null"
"1610737405-1821","https://www.wblivesurf.com/reports/page/550/","09.19.2008","Swell Size: Stomach - Chest/ Bigger Sets","3:58 PM / BY: sageisland","Water Surface: Choppy/Clean Faces","ratingCell","ratingCell half","null","null","null"
"1610737597-2888","https://www.wblivesurf.com/reports/page/484/","11.12.2010","Swell Size: Stomach/Shoulder/Bigger Sets","12:27 PM / BY: sageisland","Water Surface: Choppy/Semi-Clean","ratingCell","ratingCell half","null","null","null"
"1610738293-6497","https://www.wblivesurf.com/reports/page/258/","02.02.2018","Swell Size: Knee/Rare Thigh","7:17 AM / BY: surfreports","Water Surface: Semi-Clean","ratingCell half","null","null","null","null"
"1610737486-2228","https://www.wblivesurf.com/reports/page/525/","04.02.2009","Swell Size: Waist/Chest High/Occ. Bigger","12:58 PM / BY: sageisland","Water Surface: Light Chop","ratingCell","ratingCell half","null","null","null"
"1610737400-1801","https://www.wblivesurf.com/reports/page/552/","09.11.2008","Swell Size: Knee - Thigh High","12:56 PM / BY: sageisland","Water Surface: Light Chop","ratingCell half","null","null","null","null"
"1610737100-371","https://www.wblivesurf.com/reports/page/641/","10.02.2007","Swell Size: Chest/Occ. Head","12:26 PM / BY: sageisland","Water Surface: Choppy","ratingCell","null","null","null","null"
"1610738114-5665","https://www.wblivesurf.com/reports/page/310/","09.24.2016","Swell Size: Thigh/Occ. Hip/Waist","7:21 AM / BY: sageisland","Water Surface: Semi-Clean","ratingCell","null","null","null","null"
"1610737806-4096","https://www.wblivesurf.com/reports/page/408/","11.17.2013","Swell Size: Thigh/Waist/Occ. Stomach","3:31 PM / BY: sageisland","Water Surface: Light Bump","ratingCell","ratingCell","null","null","null"
"1610739140-9570","https://www.wblivesurf.com/reports/page/66/","04.15.2020","Swell Size: Check Live Cam","6:41 AM / BY: surfreports","Water Surface: Check Live Cam","null","null","null","null","null"
"1610739256-9997","https://www.wblivesurf.com/reports/page/39/","08.13.2020","Swell Size: Knee-Thigh High","1:41 PM / BY: surfreports","Water Surface: Bumpy","ratingCell half","null","null","null","null"
"1610738052-5402","https://www.wblivesurf.com/reports/page/327/","05.23.2016","Swell Size: Knee/Occ.Thigh","3:55 PM / BY: sageisland","Water Surface: Clean","ratingCell","null","null","null","null"
"1610738161-5935","https://www.wblivesurf.com/reports/page/293/","03.02.2017","Swell Size: Knee-Thigh High","9:56 AM / BY: sageisland","Water Surface: Slight Texture","ratingCell","ratingCell half","null","null","null"
"1610737089-316","https://www.wblivesurf.com/reports/page/645/","09.03.2007","Swell Size: Waist/Stomach/Occ. Bigger","12:43 PM / BY: sageisland","Water Surface: Choppy","ratingCell","null","null","null","null"
"1610737182-846","https://www.wblivesurf.com/reports/page/611/","01.31.2008","Swell Size: Thigh/Occ. Bigger","7:17 AM / BY: sageisland","Water Surface: Light Chop","ratingCell half","null","null","null","null"
"1610737456-2048","https://www.wblivesurf.com/reports/page/536/","12.16.2008","Swell Size: Waist/Stomach/Occ. Chest","9:49 AM / BY: sageisland","Water Surface: Clean/Foggy","ratingCell","ratingCell half","null","null","null"
"1610737950-4829","https://www.wblivesurf.com/reports/page/362/","09.23.2015","Swell Size: Hip to Chest","7:14 AM / BY: sageisland","Water Surface: Drifty/Bumpy/clean faces","ratingCell","ratingCell","ratingCell half","null","null"
"1610737283-1120","https://www.wblivesurf.com/reports/page/594/","04.07.2008","Swell Size: Knee/Thigh High","10:04 AM / BY: sageisland","Water Surface: Light Chop/Clean Faces","ratingCell half","null","null","null","null"
"1610738139-5805","https://www.wblivesurf.com/reports/page/301/","12.01.2016","Swell Size: Thigh/Waist","3:41 PM / BY: sageisland","Water Surface: Clean","ratingCell","ratingCell half","null","null","null"
"1610738955-8876","https://www.wblivesurf.com/reports/page/110/","09.27.2019","Swell Size: Shin High","3:36 PM / BY: surfreports","Water Surface: Bumpy","null","null","null","null","null"
"1610738844-8430","https://www.wblivesurf.com/reports/page/137/","06.12.2019","Swell Size: Knee/Thigh/Occ. Waist High","3:53 PM / BY: surfreports","Water Surface: Choppy / Drift","ratingCell","null","null","null","null"
"1610737256-963","https://www.wblivesurf.com/reports/page/604/","02.26.2008","Swell Size: Knee/Occ. Thigh","4:06 PM / BY: sageisland","Water Surface: Light Bump","ratingCell half","null","null","null","null"
"1610738951-8851","https://www.wblivesurf.com/reports/page/111/","09.26.2019","Swell Size: Knee/Thigh/Occ. Waist","6:56 AM / BY: surfreports","Water Surface: Light Bump","ratingCell","null","null","null","null"
"1610737587-2816","https://www.wblivesurf.com/reports/page/488/","08.29.2010","Swell Size: Chest/Shoulder/Occ. Bigger","9:56 AM / BY: sageisland","Water Surface: Choppy","ratingCell","ratingCell half","null","null","null"
"1610737800-4063","https://www.wblivesurf.com/reports/page/410/","11.01.2013","Swell Size: Waist/Occ. Chest High","3:41 PM / BY: sageisland","Water Surface: Light Chop/Drifty","ratingCell","ratingCell","ratingCell half","null","null"
"1610737592-2860","https://www.wblivesurf.com/reports/page/486/","09.19.2010","Swell Size: Chest/Head/ Plus High Sets","6:58 AM / BY: sageisland","Water Surface: Semi-Clean","ratingCell","ratingCell half","null","null","null"
"1610739137-9549","https://www.wblivesurf.com/reports/page/67/","04.04.2020","Swell Size: Check Live Cam","8:28 AM / BY: surfreports","Water Surface: Check Live Cam","null","null","null","null","null"
"1610737817-4157","https://www.wblivesurf.com/reports/page/404/","01.10.2014","Swell Size: Thigh-Waist/Bigger Sets","10:09 AM / BY: sageisland","Water Surface: Bumpy","ratingCell","ratingCell","null","null","null"
