,web-scraper-order,web-scraper-start-url,date,swell_size,time,water_surface,total_rating
1805,1610738161-5942,https://www.wblivesurf.com/reports/page/293/,02.26.2017,Swell Size: Knee/Thigh/Occ. Waist,11:08 AM / BY: sageisland,Water Surface: Clean/Light Texture,1.5
1806,1610738472-7137,https://www.wblivesurf.com/reports/page/218/,07.12.2018,Swell Size: Thigh/Waist/Occ. Bigger?,8:58 AM / BY: surfreports,Water Surface: Light Texture,1.5
1807,1610737475-2169,https://www.wblivesurf.com/reports/page/529/,03.05.2009,Swell Size: Knee/Thigh/Occ. Bigger,10:36 AM / BY: sageisland,Water Surface: Glassy/Calm,1.0
1808,1610738021-5226,https://www.wblivesurf.com/reports/page/338/,02.17.2016,Swell Size: Waist/Chest/Occ. Bigger,7:16 AM / BY: sageisland,Water Surface: Light Texture/Pretty Clean,3.5
1809,1610737616-2991,https://www.wblivesurf.com/reports/page/477/,11.05.2011,Swell Size: Chest/Head/Over Head Sets,7:27 AM / BY: sageisland,Water Surface: Semi-Clean Faces/Chop,1.5
1810,1610738506-7264,https://www.wblivesurf.com/reports/page/210/,08.13.2018,Swell Size: Thigh/Waist,12:38 PM / BY: surfreports,Water Surface: Clean,2.0
1811,1610737331-1418,https://www.wblivesurf.com/reports/page/576/,06.05.2008,Swell Size: Knee/Thigh High,6:28 AM / BY: sageisland,Water Surface: Semi-Glassy,0.5
1812,1610737963-4920,https://www.wblivesurf.com/reports/page/357/,10.19.2015,Swell Size: Thigh/Waist/Occ. Stomach,7:33 AM / BY: sageisland,Water Surface: Light Bump/Clean Faces,2.0
1813,1610738204-6188,https://www.wblivesurf.com/reports/page/278/,11.09.2017,Swell Size: Thigh/ Waist high,4:17 PM / BY: surfreports,Water Surface: Clean,2.0
1814,1610738164-5953,https://www.wblivesurf.com/reports/page/292/,03.10.2017,Swell Size: Thigh-Waist High,12:37 PM / BY: sageisland,Water Surface: Clean,1.5
1815,1610737944-4809,https://www.wblivesurf.com/reports/page/364/,08.30.2015,Swell Size: Thigh/Waist/Occ. Stomach?,12:29 PM / BY: sageisland,Water Surface: Bumpy,2.0
1816,1610738120-5695,https://www.wblivesurf.com/reports/page/308/,10.03.2016,Swell Size: Thigh/Waist/Occ. Bigger,7:16 AM / BY: sageisland,Water Surface: Clean,2.0
1817,1610738371-6788,https://www.wblivesurf.com/reports/page/240/,04.14.2018,Swell Size: Knee/Thigh High?,9:54 AM / BY: surfreports,Water Surface: Light Bump,1.0
1818,1610738144-5838,https://www.wblivesurf.com/reports/page/299/,12.22.2016,Swell Size: Thigh-Waist High/Bigger Sets,10:17 AM / BY: sageisland,Water Surface: Slight Texture/Mostly Clean,2.0
1819,1610738551-7392,https://www.wblivesurf.com/reports/page/202/,09.23.2018,Swell Size: Knee/Occ. Thigh,7:19 AM / BY: surfreports,Water Surface: Light Texture,0.0
1820,1610737364-1608,https://www.wblivesurf.com/reports/page/564/,07.24.2008,Swell Size: knee to thigh high,12:44 PM / BY: sageisland,Water Surface: semi glassy,0.5
1821,1610737253-942,https://www.wblivesurf.com/reports/page/605/,02.24.2008,Swell Size: Waist/Occ. Bigger,10:46 AM / BY: sageisland,Water Surface: Choppy/Sloppy,0.5
1822,1610738501-7252,https://www.wblivesurf.com/reports/page/211/,08.08.2018,Swell Size: Knee High,12:35 PM / BY: surfreports,Water Surface: Clean,0.5
1823,1610738791-8248,https://www.wblivesurf.com/reports/page/149/,04.23.2019,Swell Size: Knee/Thigh High,10:09 AM / BY: surfreports,Water Surface: Glassy,1.0
1824,1610738776-8188,https://www.wblivesurf.com/reports/page/153/,04.06.2019,Swell Size: Waist-Stomach/Occ. Bigger,10:04 AM / BY: surfreports,Water Surface: Fairly Clean,3.0
1825,1610738852-8461,https://www.wblivesurf.com/reports/page/135/,06.21.2019,Swell Size: Knee/Thigh/Occ. Bigger,6:13 AM / BY: surfreports,Water Surface: Clean,1.0
1826,1610738951-8850,https://www.wblivesurf.com/reports/page/111/,09.26.2019,Swell Size: Knee/Thigh High,10:08 AM / BY: surfreports,Water Surface: Clean,0.5
1827,1610737288-1156,https://www.wblivesurf.com/reports/page/592/,04.15.2008,Swell Size: Knee/Thigh High,7:06 AM / BY: sageisland,Water Surface: Semi-Clean,0.5
1828,1610737430-1975,https://www.wblivesurf.com/reports/page/541/,11.05.2008,Swell Size: Stomach-Chest/Bigger sets,4:02 PM / BY: sageisland,Water Surface: Glassy,1.5
1829,1610737919-4760,https://www.wblivesurf.com/reports/page/367/,08.04.2015,Swell Size: Thigh/Occ. Waist/Plus,9:01 AM / BY: sageisland,Water Surface: Choppy/Drifty,1.0
1830,1610737652-3212,https://www.wblivesurf.com/reports/page/464/,05.07.2012,Swell Size: Waist/Stomach/Occ. Bigger,3:47 PM / BY: sageisland,Water Surface: Choppy,1.0
1831,1610737250-935,https://www.wblivesurf.com/reports/page/606/,02.17.2008,Swell Size: Thigh/Occ. Bigger,10:18 AM / BY: sageisland,Water Surface: Choppy,0.5
1832,1610737464-2103,https://www.wblivesurf.com/reports/page/533/,01.21.2009,Swell Size: Thigh/Occ. Waist,7:24 AM / BY: sageisland,Water Surface: Offshore,1.0
1833,1610739318-10300,https://www.wblivesurf.com/reports/page/21/,10.22.2020,Swell Size: Waist to Stomach High/ Occ. Bigger,10:25 AM / BY: surfreports,Water Surface: Bumpy,2.5
1834,1610739099-9378,https://www.wblivesurf.com/reports/page/78/,02.07.2020,Swell Size: Thigh-Chest High?,12:47 PM / BY: surfreports,Water Surface: Drifty,1.5
1835,1610738268-6401,https://www.wblivesurf.com/reports/page/264/,01.09.2018,Swell Size: Knee High,10:05 AM / BY: surfreports,Water Surface: Clean,0.5
1836,1610738120-5697,https://www.wblivesurf.com/reports/page/308/,10.02.2016,Swell Size: Waist Occ Shoulder High,12:59 PM / BY: sageisland,Water Surface: Semi-Clean,2.5
1837,1610737616-2993,https://www.wblivesurf.com/reports/page/477/,10.19.2011,Swell Size: Chest/Occ. Bigger,10:08 AM / BY: sageisland,Water Surface: Light Bump,1.5
1838,1610738997-9063,https://www.wblivesurf.com/reports/page/98/,11.16.2019,Swell Size: Chest/Head High/Over Head,3:49 PM / BY: surfreports,Water Surface: Bumpy,1.0
1839,1610737963-4916,https://www.wblivesurf.com/reports/page/357/,10.22.2015,Swell Size: Waist/Stomach,7:24 AM / BY: sageisland,Water Surface: Clean,3.0
1840,1610738282-6449,https://www.wblivesurf.com/reports/page/261/,01.21.2018,Swell Size: Shin/Knee,7:18 AM / BY: surfreports,Water Surface: Glassy,0.5
1841,1610737361-1589,https://www.wblivesurf.com/reports/page/565/,07.21.2008,Swell Size: Knee - Thigh,3:58 PM / BY: sageisland,Water Surface: Semi Clean,0.5
1842,1610739162-9670,https://www.wblivesurf.com/reports/page/60/,05.19.2020,Swell Size: Thigh/Waist,6:25 AM / BY: surfreports,Water Surface: Choppy/Sloppy,0.5
1843,1610739226-9871,https://www.wblivesurf.com/reports/page/47/,07.12.2020,Swell Size: Thigh/Waist/Occ. Stomach,6:18 AM / BY: surfreports,Water Surface: Clean,2.5
1844,1610737975-4981,https://www.wblivesurf.com/reports/page/353/,11.15.2015,Swell Size: Ankle/Knee High,12:39 PM / BY: sageisland,Water Surface: Light Bump,1.0
1845,1610738679-7837,https://www.wblivesurf.com/reports/page/174/,01.16.2019,Swell Size: Knee-Thigh High,10:15 AM / BY: surfreports,Water Surface: Clean,1.0
1846,1610738021-5224,https://www.wblivesurf.com/reports/page/338/,02.17.2016,Swell Size: Waist/Occ. Stomach,12:13 PM / BY: sageisland,Water Surface: Light Bump,2.5
1847,1610739091-9343,https://www.wblivesurf.com/reports/page/80/,01.31.2020,Swell Size: Knee-Thigh High,10:04 AM / BY: surfreports,Water Surface: Light Bump,0.5
1848,1610738848-8457,https://www.wblivesurf.com/reports/page/136/,06.14.2019,Swell Size: Knee High,6:18 AM / BY: surfreports,Water Surface: Clean,0.5
1849,1610739293-10180,https://www.wblivesurf.com/reports/page/28/,09.24.2020,Swell Size: Knee-Thigh High,3:47 PM / BY: surfreports,Water Surface: Light Bump,0.5
1850,1610737267-1032,https://www.wblivesurf.com/reports/page/600/,03.11.2008,Swell Size: Shin/Occ. Knee,9:52 AM / BY: sageisland,Water Surface: Glassy,0.5
1851,1610738622-7649,https://www.wblivesurf.com/reports/page/186/,11.27.2018,Swell Size: Flat,10:02 AM / BY: surfreports,Water Surface: Clean,0.0
1852,1610739364-10493,https://www.wblivesurf.com/reports/page/8/,12.18.2020,Swell Size: Knee High,7:04 AM / BY: surfreports,Water Surface: Pretty Clean/Light Texture,0.5
1853,1610738106-5613,https://www.wblivesurf.com/reports/page/313/,09.08.2016,Swell Size: Knee/Thigh/Occ.Bigger,3:35 PM / BY: sageisland,Water Surface: Choppy,1.0
1854,1610737676-3353,https://www.wblivesurf.com/reports/page/455/,08.27.2012,Swell Size: Waist/Stomach/Occ. Chest,6:33 AM / BY: sageisland,Water Surface: Light Chop,1.5
1855,1610738268-6407,https://www.wblivesurf.com/reports/page/264/,01.07.2018,Swell Size: Knee/Thigh High,3:33 PM / BY: surfreports,Water Surface: Semi-clean/Light texture,0.5
1856,1610738970-8927,https://www.wblivesurf.com/reports/page/106/,10.17.2019,Swell Size: knee/thigh/occ+,7:24 AM / BY: surfreports,Water Surface: clean,1.5
1857,1610737941-4781,https://www.wblivesurf.com/reports/page/365/,08.29.2015,Swell Size: Thigh/Waist/Occ. Bigger,12:51 PM / BY: sageisland,Water Surface: Sideshore Chop,2.5
1858,1610738293-6504,https://www.wblivesurf.com/reports/page/258/,01.31.2018,Swell Size: Knee High,10:15 AM / BY: surfreports,Water Surface: Bumpy,0.5
1859,1610737706-3531,https://www.wblivesurf.com/reports/page/444/,12.05.2012,Swell Size: Knee-Thigh/Occ. Bigger,3:39 PM / BY: sageisland,Water Surface: Fairly Clean,1.0
1860,1610739130-9529,https://www.wblivesurf.com/reports/page/69/,03.12.2020,Swell Size: Knee-Thigh High/Occ. Bigger,3:41 PM / BY: surfreports,Water Surface: Light Bump,1.5
1861,1610737905-4679,https://www.wblivesurf.com/reports/page/372/,06.23.2015,Swell Size: Knee/Thigh High,9:04 AM / BY: sageisland,Water Surface: Semi-Clean,1.0
1862,1610738405-6885,https://www.wblivesurf.com/reports/page/234/,05.08.2018,Swell Size: knee to thigh,6:17 AM / BY: surfreports,Water Surface: light chop/texture,0.5
1863,1610737832-4249,https://www.wblivesurf.com/reports/page/399/,04.22.2014,Swell Size: Thigh/Stomach High,6:46 AM / BY: sageisland,Water Surface: Clean,2.0
1864,1610737461-2090,https://www.wblivesurf.com/reports/page/534/,12.27.2008,Swell Size: knee-thigh; waist high sets,12:35 PM / BY: sageisland,Water Surface: clean,1.0
1865,1610737856-4384,https://www.wblivesurf.com/reports/page/390/,11.26.2014,Swell Size: Waist-Chest High/Maybe Bigger Sets?,12:51 PM / BY: sageisland,Water Surface: Clean,2.5
1866,1610737184-863,https://www.wblivesurf.com/reports/page/610/,02.04.2008,Swell Size: Knee High,7:20 AM / BY: sageisland,Water Surface: Glassy,0.5
1867,1610738878-8564,https://www.wblivesurf.com/reports/page/129/,07.13.2019,Swell Size: Knee High,9:09 AM / BY: surfreports,Water Surface: Clean,1.0
1868,1610737478-2176,https://www.wblivesurf.com/reports/page/528/,03.15.2009,Swell Size: Thigh/Occ. Bigger,1:13 PM / BY: sageisland,Water Surface: Light Bump,1.0
1869,1610737748-3766,https://www.wblivesurf.com/reports/page/429/,05.18.2013,Swell Size: Knee/Occ. Thigh,9:57 AM / BY: sageisland,Water Surface: Semi-Clean,1.5
1870,1610738328-6608,https://www.wblivesurf.com/reports/page/251/,03.02.2018,Swell Size: Shin High,10:06 AM / BY: surfreports,Water Surface: Clean,0.5
1871,1610737837-4282,https://www.wblivesurf.com/reports/page/397/,07.20.2014,Swell Size: Stomach/ Occ. Bigger,1:02 PM / BY: sageisland,Water Surface: Clean,2.5
1872,1610738109-5632,https://www.wblivesurf.com/reports/page/312/,09.14.2016,Swell Size: Knee/Thigh/Occ. Hip,6:58 AM / BY: sageisland,Water Surface: Bumpy,1.0
1873,1610737331-1420,https://www.wblivesurf.com/reports/page/576/,06.04.2008,Swell Size: Knee/Occ. Bigger,5:07 PM / BY: sageisland,Water Surface: Choppy,0.5
1874,1610738021-5217,https://www.wblivesurf.com/reports/page/338/,02.19.2016,Swell Size: Knee/Thigh High,9:48 AM / BY: sageisland,Water Surface: Choppy,1.0
1875,1610737980-5006,https://www.wblivesurf.com/reports/page/351/,11.29.2015,Swell Size: Waist/Stomach High,7:08 AM / BY: sageisland,Water Surface: Clean/Glassy,2.0
1876,1610738824-8355,https://www.wblivesurf.com/reports/page/142/,05.22.2019,Swell Size: Knee/Thigh High,12:32 PM / BY: surfreports,Water Surface: Choppy/Drifty,0.5
1877,1610739069-9246,https://www.wblivesurf.com/reports/page/86/,01.07.2020,Swell Size: Flat,12:34 PM / BY: surfreports,Water Surface: Bumpy,0.0
1878,1610738328-6612,https://www.wblivesurf.com/reports/page/251/,03.01.2018,Swell Size: Thigh High,10:06 AM / BY: surfreports,Water Surface: Glasy,1.5
1879,1610738878-8563,https://www.wblivesurf.com/reports/page/129/,07.13.2019,Swell Size: Shin/Maybe Knee High,12:37 PM / BY: surfreports,Water Surface: Bumpy,0.5
1880,1610738784-8214,https://www.wblivesurf.com/reports/page/151/,04.15.2019,Swell Size: Waist High/Occ. Bigger,3:39 PM / BY: surfreports,Water Surface: Clean,1.5
1881,1610738005-5121,https://www.wblivesurf.com/reports/page/344/,01.03.2016,"Swell Size: Knee/Occ, Thigh High?",12:54 PM / BY: sageisland,Water Surface: Glassy,1.0
1882,1610737733-3683,https://www.wblivesurf.com/reports/page/434/,04.12.2013,Swell Size: Thigh/Waist/Occ. Chest,3:44 PM / BY: sageisland,Water Surface: Choppy,2.0
1883,1610738035-5306,https://www.wblivesurf.com/reports/page/333/,04.14.2016,Swell Size: Thigh/Waist/Occ.Stomach,12:35 PM / BY: sageisland,Water Surface: Choppy/Drifty,1.5
1884,1610737288-1154,https://www.wblivesurf.com/reports/page/592/,04.16.2008,Swell Size: Waist/Chest High,7:02 AM / BY: sageisland,Water Surface: Semi-Clean/Bump,1.5
1885,1610737280-1115,https://www.wblivesurf.com/reports/page/595/,03.29.2008,Swell Size: Thigh/Bigger?,10:11 AM / BY: sageisland,Water Surface: Choppy,0.5
1886,1610737160-722,https://www.wblivesurf.com/reports/page/619/,12.24.2007,Swell Size: Thigh/Waist/Occ. Bigger,7:15 AM / BY: sageisland,Water Surface: Glassy,1.5
1887,1610738885-8592,https://www.wblivesurf.com/reports/page/127/,07.22.2019,Swell Size: Knee/Thigh High,9:12 AM / BY: surfreports,Water Surface: Light Bump,1.0
1888,1610738463-7115,https://www.wblivesurf.com/reports/page/220/,07.01.2018,Swell Size: Ankle/Shin High,3:35 PM / BY: surfreports,Water Surface: Onshore Bump,0.5
1889,1610738035-5296,https://www.wblivesurf.com/reports/page/333/,04.17.2016,Swell Size: Waist/Stomach/Occ. Chest,6:49 AM / BY: sageisland,Water Surface: Semi-Clean/Light Bump,2.5
1890,1610738528-7327,https://www.wblivesurf.com/reports/page/206/,08.29.2018,Swell Size: Knee/Rare Thigh High?,3:43 PM / BY: surfreports,Water Surface: Texturey,0.5
1891,1610738158-5926,https://www.wblivesurf.com/reports/page/294/,02.16.2017,Swell Size: Thigh-Waist High/Rare Bigger Sets,1:00 PM / BY: sageisland,Water Surface: Clean,2.0
1892,1610738211-6215,https://www.wblivesurf.com/reports/page/276/,11.19.2017,Swell Size: Thigh/Waist/Occ. Bigger,10:11 AM / BY: surfreports,Water Surface: Clean,2.5
1893,1610738098-5572,https://www.wblivesurf.com/reports/page/316/,08.25.2016,Swell Size: Knee/Thigh/Occ. Bigger,9:04 AM / BY: sageisland,Water Surface: Semi-Clean,1.5
1894,1610737486-2229,https://www.wblivesurf.com/reports/page/525/,04.02.2009,Swell Size: Thigh/Stomach High/Occ. Bigger Sets,9:46 AM / BY: sageisland,Water Surface: Light Bump/Semi-clean,1.5
1895,1610737701-3495,https://www.wblivesurf.com/reports/page/446/,11.19.2012,Swell Size: Waist/Chest/Occ. Bigger?,6:49 AM / BY: sageisland,Water Surface: Chop/Clean Faces,1.5
1896,1610739369-10518,https://www.wblivesurf.com/reports/page/7/,12.19.2020,Swell Size: Shin-Knee High,3:25 PM / BY: surfreports,Water Surface: Light Bump,0.5
1897,1610737961-4906,https://www.wblivesurf.com/reports/page/358/,10.08.2015,Swell Size: Thigh/Waist High,9:59 AM / BY: sageisland,Water Surface: Glassy,1.5
1898,1610738413-6923,https://www.wblivesurf.com/reports/page/232/,05.14.2018,Swell Size: Shin High,12:27 PM / BY: surfreports,Water Surface: Light Bump,0.0
1899,1610737416-1899,https://www.wblivesurf.com/reports/page/546/,10.07.2008,Swell Size: Thigh/Occ. Waist,7:10 AM / BY: sageisland,Water Surface: Light Chop,0.5
1900,1610737100-380,https://www.wblivesurf.com/reports/page/641/,09.30.2007,Swell Size: Waist/Chest/Bigger?,10:16 AM / BY: sageisland,Water Surface: Choppy,1.0
1901,1610737521-2430,https://www.wblivesurf.com/reports/page/512/,08.21.2009,Swell Size: Waist/Stomach,6:32 AM / BY: sageisland,Water Surface: Light Bump,1.0
1902,1610737745-3752,https://www.wblivesurf.com/reports/page/430/,05.02.2013,Swell Size: Waist/Occ. Chest,9:54 AM / BY: sageisland,Water Surface: Choppy/Drifty,1.5
1903,1610739120-9472,https://www.wblivesurf.com/reports/page/72/,03.03.2020,Swell Size: knee/thigh,7:04 AM / BY: surfreports,Water Surface: clean/glassy,1.0
1904,1610739169-9703,https://www.wblivesurf.com/reports/page/58/,05.27.2020,Swell Size: Thigh-Stomach High,10:46 AM / BY: surfreports,Water Surface: Choppy,1.0
1905,1610739072-9276,https://www.wblivesurf.com/reports/page/85/,01.08.2020,Swell Size: toe/ankle,7:33 AM / BY: surfreports,Water Surface: clean,0.0
1906,1610737541-2543,https://www.wblivesurf.com/reports/page/505/,10.11.2009,Swell Size: thigh/Waist/Occ. Bigger,12:58 PM / BY: sageisland,Water Surface: glassy light chop,1.5
1907,1610737803-4080,https://www.wblivesurf.com/reports/page/409/,11.06.2013,Swell Size: Stomach-Chest/Occ. Bigger Sets,12:51 PM / BY: sageisland,Water Surface: Choppy/Drifty,2.0
1908,1610737963-4909,https://www.wblivesurf.com/reports/page/357/,10.23.2015,Swell Size: Waist/Stomach High,4:10 PM / BY: sageisland,Water Surface: Light Bump,2.5
1909,1610737786-3987,https://www.wblivesurf.com/reports/page/415/,09.15.2013,Swell Size: Thigh/Waist High/Occ. Stomach?,10:51 AM / BY: sageisland,Water Surface: Choppy,1.5
1910,1610737756-3809,https://www.wblivesurf.com/reports/page/426/,06.11.2013,Swell Size: Thigh/Occ. Waist/Rare Bigger,3:46 PM / BY: sageisland,Water Surface: Light Chop,2.0
1911,1610737094-346,https://www.wblivesurf.com/reports/page/643/,09.18.2007,Swell Size: Waist/Chest/Bigger Sets,9:55 AM / BY: sageisland,Water Surface: Choppy,1.5
1912,1610737157-716,https://www.wblivesurf.com/reports/page/620/,12.17.2007,Swell Size: Knee High,7:01 AM / BY: sageisland,Water Surface: Glassy,0.5
1913,1610738844-8444,https://www.wblivesurf.com/reports/page/137/,06.09.2019,Swell Size: Knee/Thigh/Occ. Bigger,9:55 AM / BY: surfreports,Water Surface: Clean,2.0
1914,1610737894-4607,https://www.wblivesurf.com/reports/page/376/,05.17.2015,Swell Size: Knee/Thigh/Occ. Waist High,6:24 AM / BY: sageisland,Water Surface: Clean,1.0
1915,1610738392-6859,https://www.wblivesurf.com/reports/page/236/,04.28.2018,Swell Size: Knee High,12:44 PM / BY: surfreports,Water Surface: Clean,0.0
1916,1610738392-6852,https://www.wblivesurf.com/reports/page/236/,04.30.2018,Swell Size: Flat,10:04 AM / BY: surfreports,Water Surface: Glassy,0.0
1917,1610739043-9140,https://www.wblivesurf.com/reports/page/93/,12.08.2019,Swell Size: Knee-Thigh High occ Waist,10:10 AM / BY: surfreports,Water Surface: Light Bump,1.0
1918,1610737400-1791,https://www.wblivesurf.com/reports/page/552/,09.12.2008,Swell Size: Knee/ Maybe Thigh,4:10 PM / BY: sageisland,Water Surface: Semi Clean,0.5
1919,1610738158-5917,https://www.wblivesurf.com/reports/page/294/,02.24.2017,Swell Size: Chest-Head High,10:03 AM / BY: sageisland,Water Surface: Light Bump,3.0
1920,1610738767-8156,https://www.wblivesurf.com/reports/page/155/,03.29.2019,Swell Size: Waist/Stomach Maybe,10:01 AM / BY: surfreports,Water Surface: Glassy,3.0
1921,1610738962-8901,https://www.wblivesurf.com/reports/page/108/,10.07.2019,Swell Size: Waist/Stomach,12:24 PM / BY: surfreports,Water Surface: Choppy,1.0
1922,1610737533-2497,https://www.wblivesurf.com/reports/page/508/,09.11.2009,Swell Size: Knee/Thigh/Occ. Waist,10:08 AM / BY: sageisland,Water Surface: Light NE Bump,1.0
1923,1610737994-5091,https://www.wblivesurf.com/reports/page/346/,12.23.2015,Swell Size: Thigh/Occ. Waist,12:02 PM / BY: sageisland,Water Surface: Light Chop,1.5
1924,1610738820-8341,https://www.wblivesurf.com/reports/page/143/,05.18.2019,Swell Size: Knee High,6:24 AM / BY: surfreports,Water Surface: Pretty Clean/Light Texture,0.5
1925,1610737521-2434,https://www.wblivesurf.com/reports/page/512/,08.20.2009,Swell Size: Thigh/Waist/Occ. Bigger,6:49 AM / BY: sageisland,Water Surface: Clean/Calm,1.0
1926,1610738106-5614,https://www.wblivesurf.com/reports/page/313/,09.08.2016,Swell Size: Thigh/Waist,12:54 PM / BY: sageisland,Water Surface: Semi-Clean/Light texture,1.5
1927,1610739061-9224,https://www.wblivesurf.com/reports/page/88/,12.28.2019,Swell Size: Knee/Thigh,7:31 AM / BY: surfreports,Water Surface: Glassy,0.5
1928,1610737803-4077,https://www.wblivesurf.com/reports/page/409/,11.07.2013,Swell Size: Stomach/Chest/Occ. Bigger,10:09 AM / BY: sageisland,Water Surface: Light Bump,3.0
1929,1610737291-1172,https://www.wblivesurf.com/reports/page/591/,04.20.2008,Swell Size: Knee/Thigh High,7:15 AM / BY: sageisland,Water Surface: Chop/Slop,0.5
1930,1610737597-2879,https://www.wblivesurf.com/reports/page/484/,11.15.2010,Swell Size: Thigh/Waist/Rare Bigger,10:06 AM / BY: sageisland,Water Surface: Glassy,1.5
1931,1610738716-7958,https://www.wblivesurf.com/reports/page/167/,02.11.2019,Swell Size: knee/thigh,7:34 AM / BY: surfreports,Water Surface: clean,1.0
1932,1610738155-5916,https://www.wblivesurf.com/reports/page/295/,01.23.2017,Swell Size: Waist-Stomach High/Occ. Bigger,3:43 PM / BY: sageisland,Water Surface: Clean,3.0
1933,1610738597-7559,https://www.wblivesurf.com/reports/page/192/,11.01.2018,Swell Size: Thigh/Hip/Occ. Waist,7:24 AM / BY: surfreports,Water Surface: Clean,1.5
1934,1610737845-4328,https://www.wblivesurf.com/reports/page/394/,09.20.2014,Swell Size: Waist/Chest/Occ. Bigger,9:08 AM / BY: sageisland,Water Surface: Semi-Chop,3.0
1935,1610737815-4152,https://www.wblivesurf.com/reports/page/405/,12.09.2013,Swell Size: Thigh/Occ. Waist,4:03 PM / BY: sageisland,Water Surface: Clean,1.5
1936,1610737491-2263,https://www.wblivesurf.com/reports/page/523/,04.18.2009,Swell Size: Thigh/Waist/Occ. Stomach plus,10:01 AM / BY: sageisland,Water Surface: Glassy/Light Offshore,1.5
1937,1610738820-8344,https://www.wblivesurf.com/reports/page/143/,05.17.2019,Swell Size: Knee/Thigh High,10:03 AM / BY: surfreports,Water Surface: Light Bump,0.5
1938,1610739265-10059,https://www.wblivesurf.com/reports/page/36/,08.22.2020,Swell Size: Knee/Thigh/Occ. Hip,6:36 AM / BY: surfreports,Water Surface: Clean,1.0
1939,1610738432-6998,https://www.wblivesurf.com/reports/page/227/,06.04.2018,Swell Size: Flat,3:50 PM / BY: surfreports,Water Surface: Light Bump,0.0
1940,1610738351-6707,https://www.wblivesurf.com/reports/page/245/,03.25.2018,Swell Size: Waist/Stomach/Occ. Bigger,12:48 PM / BY: surfreports,Water Surface: Choppy/Drift/Semi-Clean Faces,2.0
1941,1610739039-9126,https://www.wblivesurf.com/reports/page/94/,12.03.2019,Swell Size: ankle,3:23 PM / BY: surfreports,Water Surface: glassy,0.5
1942,1610737372-1645,https://www.wblivesurf.com/reports/page/561/,08.05.2008,Swell Size: Knee High Shorebreak,8:45 AM / BY: sageisland,Water Surface: Semi-Glassy,0.5
1943,1610737535-2514,https://www.wblivesurf.com/reports/page/507/,09.21.2009,Swell Size: Waist/Stomach/Occ. Bigger,6:50 AM / BY: sageisland,Water Surface: Semi-Clean/Light Bump,1.5
1944,1610738506-7274,https://www.wblivesurf.com/reports/page/210/,08.11.2018,Swell Size: Ankle/Shin High,6:40 AM / BY: surfreports,Water Surface: Glassy,0.0
1945,1610737728-3653,https://www.wblivesurf.com/reports/page/436/,03.30.2013,Swell Size: Shin/Knee/Occ. Bigger,9:58 AM / BY: sageisland,Water Surface: Glassy,1.0
1946,1610738528-7339,https://www.wblivesurf.com/reports/page/206/,08.26.2018,Swell Size: Knee High,3:58 PM / BY: surfreports,Water Surface: Bumpy,0.5
1947,1610739329-10339,https://www.wblivesurf.com/reports/page/18/,11.05.2020,Swell Size: Ankle - Shin,12:39 PM / BY: surfreports,Water Surface: Choppy,0.5
1948,1610737983-5029,https://www.wblivesurf.com/reports/page/350/,12.01.2015,Swell Size: Thigh/Waist,12:08 PM / BY: sageisland,Water Surface: Glassy,2.0
1949,1610739265-10049,https://www.wblivesurf.com/reports/page/36/,08.24.2020,Swell Size: Knee-Thigh High,12:24 PM / BY: surfreports,Water Surface: Glassy,0.5
1950,1610738021-5223,https://www.wblivesurf.com/reports/page/338/,02.17.2016,Swell Size: Waist/Occ.Stomach,3:35 PM / BY: sageisland,Water Surface: Semi-clean/Light bump,2.0
1951,1610737135-575,https://www.wblivesurf.com/reports/page/628/,11.15.2007,Swell Size: Knee High w/ Some Bigger Sets,9:39 AM / BY: sageisland,Water Surface: Semi Clean,0.5
1952,1610738250-6359,https://www.wblivesurf.com/reports/page/267/,12.26.2017,Swell Size: Ankle/Shin High,7:12 AM / BY: surfreports,Water Surface: Light Bump/Chop,0.0
1953,1610737508-2359,https://www.wblivesurf.com/reports/page/517/,06.06.2009,Swell Size: Thigh/Waist/Rare Bigger,3:49 PM / BY: sageisland,Water Surface: Light Chop,1.0
1954,1610737315-1324,https://www.wblivesurf.com/reports/page/582/,05.17.2008,Swell Size: Knee/Occ. Thigh,4:09 PM / BY: sageisland,Water Surface: Light Chop,0.5
1955,1610738201-6172,https://www.wblivesurf.com/reports/page/279/,11.05.2017,Swell Size: Knee/Thigh High,4:00 PM / BY: surfreports,Water Surface: Semi-Clean,0.5
1956,1610737179-834,https://www.wblivesurf.com/reports/page/612/,01.27.2008,Swell Size: Knee,12:58 PM / BY: sageisland,Water Surface: Glassy,0.5
1957,1610738763-8135,https://www.wblivesurf.com/reports/page/156/,03.26.2019,Swell Size: Knee High,12:27 PM / BY: surfreports,Water Surface: Choppy,0.5
1958,1610737630-3072,https://www.wblivesurf.com/reports/page/472/,01.27.2012,Swell Size: Waist/Chest/Occ. Bigger,7:06 AM / BY: sageisland,Water Surface: Choppy,1.0
1959,1610737845-4326,https://www.wblivesurf.com/reports/page/394/,09.20.2014,Swell Size: Stomach-Chest/Occ. Bigger,3:50 PM / BY: sageisland,Water Surface: Choppy,2.5
1960,1610738186-6091,https://www.wblivesurf.com/reports/page/284/,09.26.2017,Swell Size: Chest/Head/Bigger Sets,7:23 AM / BY: surfreports,Water Surface: Pretty Clean,3.5
