,web-scraper-order,web-scraper-start-url,date,swell_size,time,water_surface,total_rating
36,1610737731-3668,https://www.wblivesurf.com/reports/page/435/,04.05.2013,Swell Size: Waist/Stomach/Occ Bigger,3:55 PM / BY: sageisland,Water Surface: Light Chop,2.5
37,1610738991-9023,https://www.wblivesurf.com/reports/page/100/,11.10.2019,Swell Size: Thigh/Waist,3:33 PM / BY: surfreports,Water Surface: light texture,1.0
38,1610738261-6393,https://www.wblivesurf.com/reports/page/265/,01.02.2018,Swell Size: Thigh/Waist,12:31 PM / BY: surfreports,Water Surface: Light Chop and Drift,1.0
39,1610737616-2990,https://www.wblivesurf.com/reports/page/477/,11.05.2011,Swell Size: Chest/Head/Occ. Bigger,9:08 AM / BY: sageisland,Water Surface: Semi-Clean/Bump,1.5
40,1610739091-9346,https://www.wblivesurf.com/reports/page/80/,01.30.2020,Swell Size: Thigh-Waist High,12:16 PM / BY: surfreports,Water Surface: Light Bump,1.0
41,1610738922-8745,https://www.wblivesurf.com/reports/page/118/,08.25.2019,Swell Size: Knee/Thigh/Occ. Bigger,9:41 AM / BY: surfreports,Water Surface: Light Bump,1.0
42,1610737348-1506,https://www.wblivesurf.com/reports/page/570/,06.23.2008,Swell Size: Knee/Thigh High Shorebreak,12:35 PM / BY: sageisland,Water Surface: Glassy,0.5
43,1610738109-5641,https://www.wblivesurf.com/reports/page/312/,09.09.2016,Swell Size: Thigh-Hip High,3:42 PM / BY: sageisland,Water Surface: Choppy,1.0
44,1610738614-7620,https://www.wblivesurf.com/reports/page/188/,11.18.2018,Swell Size: Thigh/Waist/Occ. Stomach,7:21 AM / BY: surfreports,Water Surface: Choppy,0.5
45,1610738970-8939,https://www.wblivesurf.com/reports/page/106/,10.14.2019,Swell Size: Shin/Knee Shorebreak,7:21 AM / BY: surfreports,Water Surface: Clean,0.5
46,1610738732-8005,https://www.wblivesurf.com/reports/page/164/,02.23.2019,Swell Size: Thigh/Waist,10:13 AM / BY: surfreports,Water Surface: Bumpy,2.0
47,1610737321-1347,https://www.wblivesurf.com/reports/page/580/,05.24.2008,Swell Size: Knee/Thigh/Building,1:04 PM / BY: sageisland,Water Surface: Choppy,0.5
48,1610737832-4241,https://www.wblivesurf.com/reports/page/399/,06.01.2014,Swell Size: Thigh/Waist/Occ. Stomach,12:28 PM / BY: sageisland,Water Surface: Choppy/Drifty,2.5
49,1610739211-9807,https://www.wblivesurf.com/reports/page/51/,06.26.2020,Swell Size: Knee High,6:11 AM / BY: surfreports,Water Surface: Clean,0.5
50,1610739180-9754,https://www.wblivesurf.com/reports/page/55/,06.07.2020,Swell Size: Shin-Knee High,1:34 PM / BY: surfreports,Water Surface: Clean,0.5
51,1610737685-3389,https://www.wblivesurf.com/reports/page/452/,09.22.2012,Swell Size: Knee/Thigh/Occ. Bigger?,12:31 PM / BY: sageisland,Water Surface: Glassy,1.0
